phase_cycle1,phase_cycle2,phase_cycle3
-161.565051177078,-8.130102354155978,-8.130102354155978
-45.0,116.56505117707799,116.56505117707799
165.96375653207352,-26.56505117707799,-26.56505117707799
-8.130102354155978,81.86989764584403,81.86989764584403
-90.0,-108.43494882292202,-108.43494882292202
30.96375653207352,26.56505117707799,26.56505117707799
-68.19859051364818,153.434948822922,153.434948822922
56.309932474020215,18.43494882292201,18.43494882292201
-26.56505117707799,165.96375653207352,165.96375653207352
-135.0,18.43494882292201,18.43494882292201
0.0,135.0,135.0
-116.56505117707799,45.0,45.0
45.0,135.0,135.0
-45.0,0.0,0.0
45.0,53.13010235415598,53.13010235415598
90.0,-153.434948822922,-153.434948822922
26.56505117707799,68.19859051364818,68.19859051364818
108.43494882292202,180.0,180.0
45.0,135.0,135.0
90.0,11.309932474020215,11.309932474020215
